level,scenario,mission,attempts,wins,average_score,average_duration_seconds,attempts_before_success,average_duration_before_success,max_score,difficulty
levels/tutoriel/tutoriel.xml,Tutoriel,Tutoriel,1543,1442,9819.414128321452,89.02462475696696,1.2,172.5282,15500.0,0.3664894110760354
levels/explorateur/niveau01.xml,Explorateur,Mission 01,2128,2030,14766.328477443609,32.97057142857143,1.25,101.24633333333333,15500.0,0.04733364661654138
levels/explorateur/niveau02.xml,Explorateur,Mission 02,2070,2020,12604.632850241545,17.79945458937198,1.1428571428571428,13.084142857142856,15500.0,0.1867978806295777
levels/explorateur/niveau03.xml,Explorateur,Mission 03,2237,1951,10119.422440768887,33.01687438533751,1.2040816326530612,71.3104693877551,15500.0,0.3471340360794266
levels/explorateur/niveau04.xml,Explorateur,Mission 04,2455,2137,8825.752749490835,41.14505702647658,1.3896103896103895,91.76981818181818,15500.0,0.4305965968070429
levels/explorateur/niveau05.xml,Explorateur,Mission 05,2619,2082,7242.589156166476,61.278805651011844,1.6478260869565218,93.8605347826087,15678.0,0.5380412580580127
levels/tutoriel/ouvrirporte.xml,Explorateur,Mission 06,2622,2419,4714.301678108314,52.25114416475972,1.1451612903225807,64.92825806451613,14483.0,0.6744941187524467
levels/explorateur/niveau06.xml,Explorateur,Mission 07,2272,1838,6947.249559859155,96.85654533450705,1.7696335078534031,139.96048167539269,15500.0,0.5517903509768287
levels/explorateur/niveau07.xml,Explorateur,Mission 08,1941,1626,7235.580113343637,92.99271251931994,1.7165354330708662,131.2245433070866,15678.0,0.5384883203633348
levels/tutoriel/nommerscript.xml,Collaborateur,Mission 01,1797,1532,4962.971062882582,79.93228658875904,1.2276422764227641,108.85900813008129,13930.0,0.6437206702884004
levels/collaborateur/niveau01.xml,Collaborateur,Mission 02,1309,1233,10772.59281894576,42.854532467532465,1.3636363636363635,84.37112121212121,16000.0,0.32671294881588997
levels/collaborateur/niveau02.xml,Collaborateur,Mission 03,2361,1544,6598.029224904702,77.91614951291825,1.8542857142857143,163.86349142857142,15678.0,0.5791536404576667
